SenIP,SenR,SenDFL,SenIPFirst,SenRFirst,SenDFLFirst
4,30,26,4,3,2
3,72,40,3,7,4
2,69,28,2,6,2
1,36,46,1,3,4
11,92,95,1,9,9
2,63,35,2,6,3
1,72,28,1,7,2
5,57,53,5,5,5
5,39,41,5,3,4
4,41,43,4,4,4
10,52,167,1,5,1
4,43,50,4,4,5
1,38,31,1,3,3
8,99,131,8,9,1
4,30,38,4,3,3
3,38,17,3,3,1
4,48,33,4,4,3
2,41,23,2,4,2
0,41,49,0,4,4
2,105,50,2,1,5
5,39,26,5,3,2
1,12,14,1,1,1
39,328,428,3,3,4
19,206,181,1,2,1
1,50,28,1,5,2
4,36,77,4,3,7
10,77,83,1,7,8
1,37,47,1,3,4
13,73,76,1,7,7
8,36,58,8,3,5
7,37,74,7,3,7
3,41,64,3,4,6
9,64,77,9,6,7
4,83,69,4,8,6
21,192,251,2,1,2
7,91,97,7,9,9
6,126,62,6,1,6
7,68,61,7,6,6
22,69,68,2,6,6
9,80,52,9,8,5
14,174,244,1,1,2
3,55,69,3,5,6
8,39,74,8,3,7
3,82,49,3,8,4
13,121,256,1,1,2
11,57,171,1,5,1
5,49,85,5,4,8
4,59,103,4,5,1
6,35,46,6,3,4
6,31,86,6,3,8
4,59,72,4,5,7
4,32,51,4,3,5
28,195,294,2,1,2
5,46,48,5,4,4
38,301,497,3,3,4
25,213,240,2,2,2
54,390,400,5,3,4
9,115,111,9,1,1
11,104,69,1,1,6
2,11,14,2,1,1
18,106,101,1,1,1
5,45,70,5,4,7
33,766,905,3,7,9
26,348,542,2,3,5
36,501,750,3,5,7
34,463,696,3,4,6
29,227,427,2,2,4
34,320,507,3,3,5
8,132,166,8,1,1
0,4,4,0,4,4
7,104,141,7,1,1
1,69,62,1,6,6
13,226,236,1,2,2
7,78,99,7,7,9
6,70,59,6,7,5
11,128,134,1,1,1
5,26,26,5,2,2
10,49,99,1,4,9
7,51,69,7,5,6
1,34,42,1,3,4
8,95,100,8,9,1
10,85,103,1,8,1
5,86,82,5,8,8
15,78,205,1,7,2
4,68,69,4,6,6
6,66,48,6,6,4
10,38,73,1,3,7
4,94,69,4,9,6
3,63,31,3,6,3
8,46,60,8,4,6
7,8,10,7,8,1
6,86,107,6,8,1
2,52,65,2,5,6
14,125,125,1,1,1
1,6,13,1,6,1
2,91,59,2,9,5
6,53,92,6,5,9
3,61,91,3,6,9
5,160,144,5,1,1
14,87,99,1,8,9
3,70,68,3,7,6
0,11,42,0,1,4
1,24,18,1,2,1
8,110,69,8,1,6
10,95,74,1,9,7
23,327,333,2,3,3
36,372,338,3,3,3
19,305,213,1,3,2
7,90,48,7,9,4
7,45,32,7,4,3
10,178,176,1,1,1
19,367,341,1,3,3
13,188,155,1,1,1
7,138,61,7,1,6
12,183,186,1,1,1
6,109,74,6,1,7
24,271,291,2,2,2
7,85,68,7,8,6
8,172,159,8,1,1
18,222,202,1,2,2
11,161,114,1,1,1
34,406,351,3,4,3
11,138,97,1,1,9
21,290,364,2,2,3
22,316,373,2,3,3
13,300,443,1,3,4
8,308,347,8,3,3
15,279,502,1,2,5
14,304,338,1,3,3
17,189,341,1,1,3
14,209,312,1,2,3
6,200,120,6,2,1
14,259,196,1,2,1
12,166,196,1,1,1
3,92,121,3,9,1
12,220,139,1,2,1
5,144,54,5,1,5
10,149,125,1,1,1
7,155,138,7,1,1
11,253,261,1,2,2
16,351,306,1,3,3
12,145,100,1,1,1
6,76,128,6,7,1
5,45,92,5,4,9
0,16,32,0,1,3
20,234,261,2,2,2
6,32,32,6,3,3
7,60,87,7,6,8
2,93,110,2,9,1
3,11,12,3,1,1
1,50,118,1,5,1
6,103,143,6,1,1
2,47,69,2,4,6
2,31,7,2,3,7
2,34,40,2,3,4
0,14,26,0,1,2
0,22,30,0,2,3
2,13,20,2,1,2
1,17,13,1,1,1
10,109,123,1,1,1
2,37,40,2,3,4
2,37,30,2,3,3
4,33,52,4,3,5
3,28,47,3,2,4
3,23,42,3,2,4
19,400,556,1,4,5
15,482,591,1,4,5
13,243,464,1,2,4
22,483,674,2,4,6
21,508,698,2,5,6
25,476,601,2,4,6
12,390,476,1,3,4
19,491,696,1,4,6
18,554,699,1,5,6
26,836,1088,2,8,1
12,459,505,1,4,5
25,437,700,2,4,7
15,603,662,1,6,6
6,609,448,6,6,4
26,522,690,2,5,6
12,442,459,1,4,4
18,568,848,1,5,8
11,371,495,1,3,4
18,447,486,1,4,4
13,431,403,1,4,4
23,463,786,2,4,7
23,465,705,2,4,7
16,671,625,1,6,6
13,606,602,1,6,6
15,283,467,1,2,4
18,283,409,1,2,4
26,291,600,2,2,6
28,389,564,2,3,5
18,328,568,1,3,5
29,481,691,2,4,6
8,213,283,8,2,2
21,245,424,2,2,4
26,297,726,2,2,7
20,215,647,2,2,6
14,369,825,1,3,8
35,400,934,3,4,9
28,465,914,2,4,9
27,271,514,2,2,5
16,210,443,1,2,4
12,146,358,1,1,3
19,263,482,1,2,4
16,258,568,1,2,5
18,223,494,1,2,4
27,520,649,2,5,6
21,448,686,2,4,6
16,481,606,1,4,6
19,631,547,1,6,5
21,256,501,2,2,5
16,317,564,1,3,5
21,383,668,2,3,6
11,188,380,1,1,3
17,707,749,1,7,7
16,423,508,1,4,5
11,222,254,1,2,2
22,538,627,2,5,6
20,519,624,2,5,6
17,271,550,1,2,5
36,430,806,3,4,8
13,216,410,1,2,4
23,246,685,2,2,6
29,410,646,2,4,6
14,204,477,1,2,4
2,126,189,2,1,1
58,1052,1051,5,1,1
44,1256,1056,4,1,1
45,973,927,4,9,9
49,1010,963,4,1,9
0,0,0,0,0,0
0,0,0,0,0,0
28,949,433,2,9,4
15,604,338,1,6,3
39,434,723,3,4,7
9,166,303,9,1,3
10,154,202,1,1,2
26,389,599,2,3,5
18,318,506,1,3,5
10,112,243,1,1,2
19,208,414,1,2,4
27,405,642,2,4,6
4,81,167,4,8,1
25,362,581,2,3,5
22,257,507,2,2,5
3,188,114,3,1,1
7,153,133,7,1,1
40,756,433,4,7,4
8,549,351,8,5,3
13,505,473,1,5,4
21,588,579,2,5,5
17,657,702,1,6,7
17,571,662,1,5,6
19,540,664,1,5,6
17,756,781,1,7,7
19,582,639,1,5,6
9,543,491,9,5,4
7,475,361,7,4,3
20,843,620,2,8,6
27,824,688,2,8,6
10,288,431,1,2,4
16,532,742,1,5,7
23,533,603,2,5,6
22,951,879,2,9,8
22,634,660,2,6,6
27,946,837,2,9,8
12,656,477,1,6,4
10,1121,674,1,1,6
17,883,633,1,8,6
9,300,248,9,3,2
11,594,627,1,5,6
9,749,637,9,7,6
13,391,630,1,3,6
4,956,657,4,9,6
9,482,878,9,4,8
8,811,693,8,8,6
11,650,708,1,6,7
9,456,545,9,4,5
6,654,593,6,6,5
11,452,653,1,4,6
7,586,434,7,5,4
14,637,749,1,6,7
7,296,258,7,2,2
8,263,455,8,2,4
12,438,824,1,4,8
9,701,570,9,7,5
13,614,692,1,6,6
7,220,530,7,2,5
16,557,1012,1,5,1
12,486,438,1,4,4
22,358,467,2,3,4
1,5,29,1,5,2
19,334,835,1,3,8
23,493,1121,2,4,1
10,296,843,1,2,8
16,453,726,1,4,7
6,266,716,6,2,7
21,431,847,2,4,8
15,439,863,1,4,8
22,379,829,2,3,8
16,818,352,1,8,3
3,248,158,3,2,1
8,161,80,8,1,8
8,239,539,8,2,5
17,388,678,1,3,6
8,283,452,8,2,4
20,209,579,2,2,5
19,294,590,1,2,5
16,371,651,1,3,6
23,1127,566,2,1,5
17,373,384,1,3,3
5,175,103,5,1,1
22,598,593,2,5,5
21,524,538,2,5,5
12,436,441,1,4,4
20,407,387,2,4,3
17,572,548,1,5,5
9,508,445,9,5,4
14,672,534,1,6,5
19,617,417,1,6,4
23,678,559,2,6,5
21,635,588,2,6,5
11,652,428,1,6,4
19,467,460,1,4,4
20,550,632,2,5,6
17,566,385,1,5,3
20,507,495,2,5,4
22,727,612,2,7,6
12,484,550,1,4,5
16,704,582,1,7,5
14,490,370,1,4,3
18,856,499,1,8,4
15,567,381,1,5,3
13,707,359,1,7,3
17,492,393,1,4,3
20,347,295,2,3,2
2,65,115,2,6,1
15,692,399,1,6,3
20,976,447,2,9,4
8,86,372,8,8,3
33,347,1342,3,3,1
28,291,1219,2,2,1
24,216,1081,2,2,1
21,229,944,2,2,9
28,218,1150,2,2,1
16,146,678,1,1,6
21,96,664,2,9,6
34,158,1026,3,1,1
12,93,478,1,9,4
20,200,1559,2,2,1
6,66,948,6,6,9
13,130,681,1,1,6
17,168,484,1,1,4
17,108,919,1,1,9
6,102,589,6,1,5
4,55,325,4,5,3
20,210,1612,2,2,1
5,70,599,5,7,5
20,273,652,2,2,6
22,336,659,2,3,6
7,134,816,7,1,8
18,261,1314,1,2,1
13,81,486,1,8,4
8,184,796,8,1,7
27,188,1296,2,1,1
11,298,863,1,2,8
7,242,693,7,2,6
4,260,822,4,2,8
12,78,346,1,7,3
8,192,552,8,1,5
8,59,284,8,5,2
17,157,665,1,1,6
25,204,864,2,2,8
15,72,414,1,7,4
18,252,1062,1,2,1
28,141,940,2,1,9
14,113,685,1,1,6
9,203,763,9,2,7
11,139,860,1,1,8
13,87,843,1,8,8
21,73,641,2,7,6
12,43,506,1,4,5
14,50,583,1,5,5
13,53,619,1,5,6
7,29,249,7,2,2
13,39,540,1,3,5
23,72,584,2,7,5
18,52,595,1,5,5
5,23,478,5,2,4
9,69,986,9,6,9
19,72,719,1,7,7
25,301,694,2,3,6
7,40,426,7,4,4
11,74,362,1,7,3
4,41,293,4,4,2
7,58,504,7,5,5
9,63,704,9,6,7
2,69,699,2,6,6
5,239,868,5,2,8
14,242,1290,1,2,1
12,340,1018,1,3,1
12,145,1021,1,1,1
19,271,804,1,2,8
10,126,645,1,1,6
23,357,1451,2,3,1
11,212,1266,1,2,1
4,33,346,4,3,3
14,55,566,1,5,5
22,126,1256,2,1,1
10,53,691,1,5,6
11,72,864,1,7,8
19,157,1394,1,1,1
20,127,1343,2,1,1
21,194,1756,2,1,1
27,201,1538,2,2,1
22,78,1012,2,7,1
21,88,1374,2,8,1
27,131,674,2,1,6
6,53,479,6,5,4
3,34,273,3,3,2
17,139,1127,1,1,1
17,67,687,1,6,6
3,16,73,3,1,7
13,92,957,1,9,9
7,202,1079,7,2,1
16,187,890,1,1,8
0,0,0,0,0,0
16,125,920,1,1,9
14,120,908,1,1,9
0,0,0,0,0,0
14,175,1205,1,1,1
11,106,1484,1,1,1
18,74,782,1,7,7
18,84,876,1,8,8
14,162,1032,1,1,1
24,320,1198,2,3,1
16,188,959,1,1,9
26,285,1538,2,2,1
18,201,823,1,2,8
17,344,1344,1,3,1
26,336,1189,2,3,1
30,313,1016,3,3,1
11,136,540,1,1,5
13,269,808,1,2,8
23,198,1429,2,1,1
13,194,1338,1,1,1
27,266,1503,2,2,1
8,120,697,8,1,6
24,318,1651,2,3,1
12,201,864,1,2,8
6,23,48,6,2,4
8,91,623,8,9,6
18,168,895,1,1,8
21,242,850,2,2,8
25,157,800,2,1,8
29,238,1445,2,2,1
10,290,800,1,2,8
15,285,1415,1,2,1
10,316,1435,1,3,1
20,416,1500,2,4,1
6,362,1606,6,3,1
8,290,1167,8,2,1
10,407,1553,1,4,1
17,283,1076,1,2,1
17,370,1290,1,3,1
9,134,612,9,1,6
18,444,674,1,4,6
10,344,440,1,3,4
11,325,558,1,3,5
19,565,849,1,5,8
5,381,431,5,3,4
10,403,568,1,4,5
11,374,493,1,3,4
11,490,777,1,4,7
21,535,811,2,5,8
9,444,872,9,4,8
10,269,525,1,2,5
9,301,508,9,3,5
11,403,385,1,4,3
11,516,604,1,5,6
16,666,558,1,6,5
16,349,556,1,3,5
14,771,805,1,7,8
11,365,352,1,3,3
20,415,435,2,4,4
22,555,616,2,5,6
13,530,639,1,5,6
9,411,584,9,4,5
27,488,634,2,4,6
2,230,105,2,2,1
16,598,418,1,5,4
5,204,114,5,2,1
24,495,259,2,4,2
13,582,262,1,5,2
17,538,423,1,5,4
22,487,411,2,4,4
30,490,435,3,4,4
27,466,448,2,4,4
14,240,421,1,2,4
20,382,710,2,3,7
19,455,742,1,4,7
29,469,616,2,4,6
15,246,380,1,2,3
16,116,235,1,1,2
31,546,788,3,5,7
21,288,519,2,2,5
10,713,399,1,7,3
6,322,191,6,3,1
10,468,319,1,4,3
10,776,455,1,7,4
21,399,485,2,3,4
6,370,304,6,3,3
11,961,738,1,9,7
7,575,400,7,5,4
10,683,681,1,6,6
18,715,661,1,7,6
7,485,412,7,4,4
25,1157,970,2,1,9
13,567,586,1,5,5
19,695,1013,1,6,1
7,553,451,7,5,4
15,516,568,1,5,5
20,539,485,2,5,4
30,593,717,3,5,7
26,984,1214,2,9,1
25,499,614,2,4,6
22,740,829,2,7,8
22,286,440,2,2,4
13,683,607,1,6,6
18,465,511,1,4,5
19,741,683,1,7,6
29,693,731,2,6,7
22,512,771,2,5,7
13,509,603,1,5,6
28,537,1045,2,5,1
22,374,749,2,3,7
20,524,1086,2,5,1
26,478,1110,2,4,1
26,486,939,2,4,9
24,383,698,2,3,6
12,284,551,1,2,5
15,296,666,1,2,6
33,409,886,3,4,8
23,426,828,2,4,8
29,474,1091,2,4,1
29,352,800,2,3,8
25,320,900,2,3,9
5,58,37,5,5,3
35,1108,659,3,1,6
39,1714,983,3,1,9
1,66,39,1,6,3
13,658,479,1,6,4
7,463,456,7,4,4
14,851,572,1,8,5
13,320,289,1,3,2
19,417,672,1,4,6
29,645,1105,2,6,1
22,566,402,2,5,4
10,508,1164,1,5,1
20,500,1268,2,5,1
9,120,382,9,1,3
9,169,463,9,1,4
10,251,493,1,2,4
17,356,851,1,3,8
26,496,1217,2,4,1
18,336,798,1,3,7
22,248,758,2,2,7
10,269,594,1,2,5
18,274,643,1,2,6
31,437,991,3,4,9
11,328,648,1,3,6
18,486,1295,1,4,1
10,276,636,1,2,6
7,247,497,7,2,4
6,423,306,6,4,3
23,1121,851,2,1,8
3,176,90,3,1,9
6,59,57,6,5,5
12,59,122,1,5,1
10,74,105,1,7,1
21,177,253,2,1,2
35,249,295,3,2,2
17,135,141,1,1,1
8,42,50,8,4,5
8,62,37,8,6,3
17,87,100,1,8,1
15,93,101,1,9,1
29,172,173,2,1,1
17,110,100,1,1,1
0,20,24,0,2,2
48,493,402,4,4,4
27,249,379,2,2,3
12,130,163,1,1,1
36,327,243,3,3,2
12,82,65,1,8,6
17,134,103,1,1,1
13,119,98,1,1,9
9,63,53,9,6,5
40,183,304,4,1,3
5,98,82,5,9,8
7,76,55,7,7,5
10,80,84,1,8,8
3,54,31,3,5,3
13,96,77,1,9,7
11,49,77,1,4,7
9,113,127,9,1,1
7,170,114,7,1,1
3,23,32,3,2,3
3,37,22,3,3,2
4,41,34,4,4,3
5,92,79,5,9,7
5,159,196,5,1,1
2,14,17,2,1,1
4,62,43,4,6,4
9,127,96,9,1,9
2,88,57,2,8,5
1,15,15,1,1,1
17,327,305,1,3,3
2,49,52,2,4,5
25,411,265,2,4,2
10,204,141,1,2,1
1,22,15,1,2,1
14,290,257,1,2,2
9,97,73,9,9,7
6,42,33,6,4,3
7,128,198,7,1,1
4,7,11,4,7,1
2,18,28,2,1,2
5,118,133,5,1,1
7,75,54,7,7,5
13,274,208,1,2,2
18,216,220,1,2,2
26,387,353,2,3,3
6,118,106,6,1,1
3,32,28,3,3,2
0,21,37,0,2,3
0,5,0,0,5,0
9,166,120,9,1,1
1,10,14,1,1,1
15,328,204,1,3,2
3,18,17,3,1,1
4,109,99,4,1,9
34,392,335,3,3,3
25,666,519,2,6,5
19,226,273,1,2,2
44,792,926,4,7,9
33,509,474,3,5,4
17,529,440,1,5,4
7,194,92,7,1,9
56,756,627,5,7,6
29,534,382,2,5,3
21,153,141,2,1,1
19,390,330,1,3,3
12,197,126,1,1,1
0,0,0,0,0,0
19,395,219,1,3,2
10,367,281,1,3,2
7,236,234,7,2,2
21,543,322,2,5,3
26,390,301,2,3,3
0,13,8,0,1,8
18,175,216,1,1,2
10,50,33,1,5,3
3,33,88,3,3,8
6,118,161,6,1,1
23,595,605,2,5,6
21,259,294,2,2,2
6,33,65,6,3,6
7,44,95,7,4,9
5,45,57,5,4,5
10,187,191,1,1,1
6,55,197,6,5,1
4,36,70,4,3,7
4,108,129,4,1,1
4,21,96,4,2,9
7,37,39,7,3,3
22,261,512,2,2,5
6,164,163,6,1,1
0,1,0,0,1,0
9,105,139,9,1,1
0,0,0,0,0,0
9,141,137,9,1,1
2,14,18,2,1,1
4,55,99,4,5,9
0,28,18,0,2,1
4,98,136,4,9,1
10,39,93,1,3,9
19,255,459,1,2,4
26,347,609,2,3,6
17,278,414,1,2,4
30,623,820,3,6,8
0,16,4,0,1,4
3,31,83,3,3,8
1,5,6,1,5,6
7,69,203,7,6,2
27,739,774,2,7,7
2,26,63,2,2,6
14,81,328,1,8,3
3,26,29,3,2,2
3,44,57,3,4,5
5,121,149,5,1,1
2,51,146,2,5,1
0,11,6,0,1,6
4,64,178,4,6,1
4,37,56,4,3,5
3,61,71,3,6,7
5,46,182,5,4,1
5,120,106,5,1,1
2,17,20,2,1,2
8,98,179,8,9,1
1,15,6,1,1,6
6,133,118,6,1,1
0,0,0,0,0,0
12,90,331,1,9,3
5,99,235,5,9,2
2,9,2,2,9,2
1,63,57,1,6,5
0,5,5,0,5,5
6,43,45,6,4,4
2,44,36,2,4,3
2,57,50,2,5,5
5,51,58,5,5,5
1,5,17,1,5,1
4,47,65,4,4,6
1,17,38,1,1,3
7,68,147,7,6,1
11,283,253,1,2,2
4,18,10,4,1,1
23,195,293,2,1,2
5,125,147,5,1,1
6,12,41,6,1,4
0,14,11,0,1,1
0,4,6,0,4,6
3,80,67,3,8,6
5,27,45,5,2,4
3,30,56,3,3,5
1,19,25,1,1,2
0,13,16,0,1,1
2,42,28,2,4,2
2,17,20,2,1,2
5,50,31,5,5,3
3,61,69,3,6,6
3,51,45,3,5,4
4,49,51,4,4,5
4,50,28,4,5,2
5,60,38,5,6,3
14,60,134,1,6,1
11,80,45,1,8,4
5,51,45,5,5,4
19,276,277,1,2,2
22,286,267,2,2,2
1,21,29,1,2,2
2,27,24,2,2,2
13,131,118,1,1,1
16,127,134,1,1,1
2,36,42,2,3,4
2,66,45,2,6,4
8,31,46,8,3,4
4,68,33,4,6,3
1,42,28,1,4,2
3,34,26,3,3,2
3,42,29,3,4,2
3,34,31,3,3,3
3,40,23,3,4,2
3,2,17,3,2,1
3,58,38,3,5,3
2,73,72,2,7,7
28,365,366,2,3,3
0,0,0,0,0,0
10,238,255,1,2,2
18,198,225,1,1,2
6,49,36,6,4,3
17,179,133,1,1,1
0,26,27,0,2,2
5,59,34,5,5,3
6,88,73,6,8,7
14,141,119,1,1,1
19,236,266,1,2,2
0,59,34,0,5,3
44,528,690,4,5,6
6,50,69,6,5,6
6,173,192,6,1,1
6,93,64,6,9,6
3,21,11,3,2,1
8,130,131,8,1,1
11,206,186,1,2,1
5,66,102,5,6,1
21,144,225,2,1,2
2,46,40,2,4,4
2,95,101,2,9,1
10,86,133,1,8,1
14,602,479,1,6,4
2,31,40,2,3,4
2,82,31,2,8,3
10,75,88,1,7,8
8,65,92,8,6,9
10,443,387,1,4,3
3,143,136,3,1,1
1,138,29,1,1,2
12,274,217,1,2,2
8,95,88,8,9,8
2,155,119,2,1,1
9,282,276,9,2,2
3,25,48,3,2,4
5,27,53,5,2,5
1,51,37,1,5,3
5,112,45,5,1,4
14,186,303,1,1,3
34,670,699,3,6,6
7,65,71,7,6,7
6,66,74,6,6,7
4,264,11,4,2,1
9,138,140,9,1,1
0,9,11,0,9,1
3,87,71,3,8,7
10,106,84,1,1,8
3,106,59,3,1,5
7,227,267,7,2,2
2,19,26,2,1,2
10,129,82,1,1,8
14,324,254,1,3,2
13,116,204,1,1,2
14,178,228,1,1,2
21,210,335,2,2,3
19,324,388,1,3,3
13,389,394,1,3,3
0,0,0,0,0,0
19,301,375,1,3,3
11,122,199,1,1,1
8,177,235,8,1,2
12,153,235,1,1,2
16,131,241,1,1,2
15,241,327,1,2,3
3,102,111,3,1,1
1,19,17,1,1,1
1,2,7,1,2,7
0,12,6,0,1,6
0,6,12,0,6,1
0,5,19,0,5,1
1,21,31,1,2,3
0,3,7,0,3,7
3,9,27,3,9,2
15,162,273,1,1,2
0,23,28,0,2,2
0,6,8,0,6,8
0,10,13,0,1,1
0,19,12,0,1,1
0,0,12,0,0,1
0,4,9,0,4,9
0,27,25,0,2,2
7,123,127,7,1,1
3,18,79,3,1,7
0,0,0,0,0,0
2,21,48,2,2,4
3,54,99,3,5,9
0,9,2,0,9,2
0,0,0,0,0,0
0,6,24,0,6,2
0,2,1,0,2,1
1,8,9,1,8,9
0,2,19,0,2,1
2,16,30,2,1,3
0,25,30,0,2,3
1,5,12,1,5,1
2,4,4,2,4,4
1,19,17,1,1,1
1,5,27,1,5,2
0,3,8,0,3,8
1,17,8,1,1,8
2,7,13,2,7,1
2,9,11,2,9,1
1,10,13,1,1,1
5,34,49,5,3,4
9,46,62,9,4,6
1,11,15,1,1,1
25,230,442,2,2,4
24,195,422,2,1,4
35,332,603,3,3,6
3,32,38,3,3,3
18,228,317,1,2,3
11,100,155,1,1,1
9,82,143,9,8,1
12,88,136,1,8,1
7,94,158,7,9,1
1,14,7,1,1,7
1,22,34,1,2,3
2,32,61,2,3,6
8,48,129,8,4,1
0,23,26,0,2,2
3,30,22,3,3,2
0,0,0,0,0,0
10,127,144,1,1,1
5,106,115,5,1,1
3,2,12,3,2,1
12,94,67,1,9,6
1,18,16,1,1,1
3,31,20,3,3,2
2,19,30,2,1,3
1,36,46,1,3,4
2,28,36,2,2,3
2,14,43,2,1,4
5,86,41,5,8,4
1,36,47,1,3,4
18,188,348,1,1,3
4,21,24,4,2,2
0,17,36,0,1,3
7,25,44,7,2,4
2,26,41,2,2,4
0,41,48,0,4,4
1,35,55,1,3,5
0,13,12,0,1,1
14,246,362,1,2,3
4,43,37,4,4,3
1,17,21,1,1,2
1,30,31,1,3,3
3,25,34,3,2,3
0,11,21,0,1,2
4,11,12,4,1,1
1,24,17,1,2,1
2,28,43,2,2,4
1,59,81,1,5,8
4,27,36,4,2,3
4,40,17,4,4,1
2,41,21,2,4,2
3,30,32,3,3,3
7,55,61,7,5,6
4,52,77,4,5,7
9,46,158,9,4,1
12,176,204,1,1,2
9,104,181,9,1,1
22,219,309,2,2,3
14,174,377,1,1,3
3,32,39,3,3,3
15,98,266,1,9,2
7,98,163,7,9,1
14,106,262,1,1,2
9,137,310,9,1,3
2,24,42,2,2,4
6,63,130,6,6,1
11,114,194,1,1,1
6,117,211,6,1,2
3,60,128,3,6,1
2,47,26,2,4,2
5,57,42,5,5,4
15,106,126,1,1,1
7,47,44,7,4,4
8,104,79,8,1,7
14,90,65,1,9,6
4,21,21,4,2,2
2,19,16,2,1,1
9,87,75,9,8,7
3,108,102,3,1,1
2,33,21,2,3,2
0,26,15,0,2,1
12,147,95,1,1,9
5,19,25,5,1,2
1,37,35,1,3,3
1,49,26,1,4,2
0,0,0,0,0,0
3,19,19,3,1,1
10,99,148,1,9,1
9,155,149,9,1,1
4,60,96,4,6,9
4,102,94,4,1,9
10,129,144,1,1,1
13,236,187,1,2,1
1,21,29,1,2,2
6,58,115,6,5,1
9,63,100,9,6,1
10,216,248,1,2,2
5,24,27,5,2,2
4,78,71,4,7,7
13,426,309,1,4,3
18,312,338,1,3,3
23,320,384,2,3,3
17,199,215,1,1,2
6,150,129,6,1,1
0,0,0,0,0,0
30,400,472,3,4,4
11,127,110,1,1,1
20,509,442,2,5,4
5,51,78,5,5,7
12,122,156,1,1,1
6,100,128,6,1,1
8,245,152,8,2,1
17,220,305,1,2,3
5,146,128,5,1,1
1,38,46,1,3,4
3,15,25,3,1,2
5,32,49,5,3,4
3,36,22,3,3,2
4,23,8,4,2,8
5,16,21,5,1,2
17,97,115,1,9,1
7,38,45,7,3,4
5,58,44,5,5,4
15,94,153,1,9,1
20,142,101,2,1,1
6,45,25,6,4,2
2,16,37,2,1,3
2,43,25,2,4,2
0,22,36,0,2,3
7,35,35,7,3,3
3,26,46,3,2,4
6,47,45,6,4,4
34,189,207,3,1,2
1,29,15,1,2,1
5,57,36,5,5,3
11,93,99,1,9,9
3,44,35,3,4,3
5,49,50,5,4,5
